1	9.57E-06
1	9.83E-06
1	7.86E-06
1	8.38E-06
1	9.57E-06
1	9.83E-06
1	7.86E-06
1	8.38E-06
1.01	2.01E-05
1.01	3.05E-05
1.01	3.14E-05
1.01	4.06E-05
1.02	4.01E-05
1.02	6.15E-05
1.02	6.09E-05
1.02	7.95E-05
1.035	7.78E-05
1.035	0.000115338
1.035	0.000110998
1.035	0.000143237
1.0575	0.000134243
1.0575	0.000195769
1.0575	0.000184472
1.0575	0.000238328
1.09125	0.000179874
1.09125	0.000269646
1.09125	0.000257675
1.09125	0.000352144
1.14188	0.000107764
1.14188	0.000255867
1.14188	0.000263777
1.14188	0.00044898
1.16086	7.29E-05
1.16086	0.000243179
1.16086	0.00026547
1.16086	0.000477726
1.18934	1.92E-05
1.18934	0.000209983
1.18934	0.0002644
1.18934	0.000512824
1.23205	-6.32E-05
1.23205	0.000151375
1.23205	0.000253763
1.23205	0.000542707
1.29612	-0.000154574
1.29612	9.63E-05
1.29612	0.000278906
1.29612	0.000670134
1.39223	-0.000249877
1.39223	8.64E-05
1.39223	0.000380221
1.39223	0.000894177
1.49223	-0.000338831
1.49223	0.00011602
1.49223	0.00046964
1.49223	0.00112623
1.59223	-0.000416338
1.59223	0.0001495
1.59223	0.000556446
1.59223	0.00135873
1.69223	-0.000485649
1.69223	0.000198433
1.69223	0.000642131
1.69223	0.00159092
1.79223	-0.000555084
1.79223	0.000256673
1.79223	0.000725691
1.79223	0.00182658
1.89223	-0.000609503
1.89223	0.00031689
1.89223	0.000820631
1.89223	0.00206444
1.99223	-0.000651385
1.99223	0.000381447
1.99223	0.000923843
1.99223	0.00230777
2	-0.000654516
2	0.000386455
2	0.000931597
2	0.00232664
